artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,abend,abende,night,zeit,,
der,angestellte,angestellten,employee,arbeit,,
der,anzug,anzuege,suit,kleider,,
der,apfel,aepfel,apple,essen,obst,
der,architekt,architekten,architecht(f.),arbeit,arbeitsplaetze,
der,ausflug,ausfluege,trip,,,
der,ausweis,ausweise,personal id,,,
der,automat,automaten,machine,,,
der,badeanzug,badeanzuege,swimsuit,kleider,,
der,becher,-,cup,kuechev,,
der,berg,berge,mountain,natur,,
der,breif,breife,letter,schreibwaren,,
der,blumenladen,blumenlaeden,flowershop,setzt,,
der,beruf,berufe,work,arbeit,,
der,bruder,brueder,brother,familie,,
der,buchstabe,buchstaben,letter,,,
der,cent,cents,cent,geld,,
der,euro,euros,euro,geld,,
der,computer,-,computer,technologie,,
der,dom,dome,cathedral,,,
der,erdapfel,erdaepfel,potatoes,essen,gemuese,
der,exportkaufmann,exportkaufleute,export merchant,arbeit,arbeitsplaetze,
der,film,filme,movie,,,film
der,fisch,fische,fish,essen,,
der,flur,flure,corridor,haus,,
der,freund,freunde,friend,,,
der,fruehling,fruehlinge,spring,zeit,jahreszeit,
der,geburtstag,geburtstage,birthday,zeit,,
der,grossvater,grossvaeter,grandfather,familie,,
der,opa,opas,grandfather,familie,,
der,herbst,herbste,autumn,zeit,jahreszeit,
der,sommer,-,summer,zeit,jahreszeit,
der,winter,-,winter,zeit,jahreszeit,
der,herd,herde,stove,kueche,,
der,herr,herren,mister,,,
der,hotelfachmann,hotelfachleute,hotel employee,arbeit,arbeitsplaetze,
der,hund,hunde,dog,tier,,
der,job,jobs,job,arbeit,,
der,jogginganzug,jogginganzuege,jogging suit,kleider,,
der,junge,jungen,boy,personen,,
der,karneval,karnevale,carnival,setzt,fest,
der,kindergarten,kindergaerten,kindergarten,setzt,,
der,garten,gaerten,garden,setzt,,
der,korb,koerbe,basket,haus,,
der,kuchen,-,cake,essen,,
der,kuehlschrank,kuehlschraenke,fridge,kueche,,refrigirator
der,kunde,kunden,customer,personen,,client
der,lehrer,-,teacher,personen,,
der,lieblingssport,/,favorite sport,,,
der,markt,maerkte,market,setzt,,
der,morgen,-,morning,zeit,,
der,nachmittag,nachmittage,afternoon,zeit,,
der,name,namen,name,,,
der,onkel,-,uncle,familie,,
der,papagei,papageien,parrot,tier,,
der,park,parks,park,setzt,,
der,pass,paesse,passport,,,
der,preis,preise,price,,,
der,programmierer,-,programmer,arbeit,arbeitsplaetze,
der,rucksack,rucksaecke,backpack,schreibwaren,,
der,salat,salate,salad,essen,,
der,schrank,schraenke,closet,haus,,
der,see,seen,lake,setzt,natur,
der,skianzug,skianzuege,skiing suit,kleider,,
der,sohn,soehne,son,familie,,
der,spass,spaesse,fun,,,
der,sport,/,sport,aktivitaet,,
der,sprachunterricht,sprachunterrichte,language class,schule,,
der,sprachurlaub,sprachurlaube,language trip,schule,,
der,stadtplan,stadtplaene,city map,schreibwaren,,
der,stift,stifte,pen,schreibwaren,,
der,stock,stockwerke,floor,haus,,
der,student,studenten,student,schule,,
der,schueler,studenten,student,schule,,
der,supermarket,supermaerkete,supermarket,setzt,,
der,tierarzt,tieraerzte,vet,arbeit,arbeitsplaetze,
der,tisch,tische,table,kueche,,
der,tourist,touristen,tourist,personen,,
der,turm,tuerme,tower,setzt,,
der,unterricht,unterrichte,class,schule,,
der,vater,vaeter,father,familie,,
der,verkaeufer,-,merchnat,arbeit,arbeitsplaetze,
der,vormittag,vormittage,before noon,zeit,,
der,vorname,vornamen,first name,,,
der,weg,wege,road,setzt,,
der,zucker,/,sugar,essen,,
der,basketball,basketbaelle,basketball,aktivitaet,,
der,fussball,fussbaelle,football,aktivitaet,,
der,tag,tage,day,zeit,,
der,montag,montags,monday,zeit,wochenzeit,
der,dienstag,dienstags,tuesday,zeit,wochenzeit,
der,mittwoch,mittwochs,wednesday,zeit,wochenzeit,
der,donnerstag,donnerstags,thursday,zeit,wochenzeit,
der,freitag,freitags,friday,zeit,wochenzeit,
