artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,bruder,brueder,brother,familie,,
der,grossvater,grossvaeter,grandfather,familie,,
der,opa,opas,grandfather,familie,,
der,onkel,-,uncle,familie,,
der,sohn,soehne,son,familie,,
der,vater,vaeter,father,familie,,
die,eltern,/,parents,familie,,
die,gastfamilie,gastfamilien,host family,familie,,
die,geschwister,/,siblings,familie,,
die,grosseltern,/,grandparents,familie,,
die,grossmutter,grosmuetter,grandmother,familie,,
die,oma,omas,grandma,familie,,
die,mutter,muetter,mother,familie,,
die,tante,tanten,aunt,familie,,
die,schwester,schwestern,sister,familie,,
die,tochter,toechter,daughter,familie,,
die,mutti,muttis,mother,familie,,
