artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,sport,/,sport,aktivitaet,,
der,basketball,basketbaelle,basketball,aktivitaet,,
der,fussball,fussbaelle,football,aktivitaet,,
der,chor,chores,choir,aktivitaet,,
der,kurs,kurse,course,aktivitaet,,
das,spiel,spiele,game,aktivitaet,,
das,computerspiel,computerspiele,computer game,aktivitaet,,
die,aktivitaet,aktivitaeten,activity,aktivitaet,,
das,fussballspiel,fussballspiele,football game,aktivitaet,,
das,konzert,konzerte,concert,aktivitaet,,
das,picknick,picknicks,picnic,aktivitaet,,
das,praktikum,praktikumen,practice,aktivitaet,,
das,tennis,-,tennis,aktivitaet,,
das,aerobic,/,aerobics,aktivitaet,,
das,hobby,hobbys,hobby,aktivitaet,,
das,training,/,training,aktivitaet,,
die,party,partys,party,aktivitaet,,
die,pause,pausen,recess,aktivitaet,,
die,sehenswuerdigkeit,sehenswuerdigkeiten,sightseeing,aktivitaet,,
die,stadtfuehrung,stadtfuehrungen,city tour,aktivitaet,,
die,stadtrundfahrt,stadtrundfahrten,city tour(r-f),aktivitaet,,
das,reiten,/,riding a horse,aktivitaet,,
das,camping,/,camping,aktivitaet,,
die,massage,massagen,massage,aktivitaet,,
