artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
das,wochenende,wochenenden,weekend,zeit,wochenzeit,
das,ohr,ohren,ear,körperteil,,
das,bein,beine,leg,körperteil,,
das,haar,haare,hair,körperteil,,
das,buero,bueros,office,setzt,,
das,abendessen,-,dinner,mahlzeiten,essen,
das,angebot,angebote,offer,,,
das,au-pair-maedchen,-,babysitter,arbeit,arbeitsplaetze,
das,ausland,/,foreign countries,land,,
das,auto,autos,car,transport,,
das,baby,babys,baby,personen,,
das,bad,baeder,bath,haus,,
das,bett,betten,bed,haus,,
das,bild,bilder,picture,technologie,,
das,brot,brote,bread,essen,,
das,broetchen,-,bread (small),essen,,
das,buecherregal,buecherregale,bookshelf,schreibwaren,,
das,spiel,spiele,game,aktivitaet,,
das,computerspiel,computerspiele,computer game,aktivitaet,,
das,diktat,diktate,dictation,,,
das,diplom,diplome,diploma,schule,,
das,doppelzimmer,-,room for two,haus,,
das,arbeitzimmer,-,work room,haus,,
das,einzelzimmer,-,room for one,haus,,
das,ei,eier,egg,essen,,
das,elektrogeraet,elektrogeraete,electric device,haus,,
das,essen,/,food,essen,,
das,obst,/,fruits,essen,,
das,gemuese,/,vegetables,essen,,
das,fahrrad,fahrraeder,bike,transport,,
das,rad,raeder,bicycle (starts with R),transport,,
das,fax,faxe,fax,schreibwaren,,
das,fenster,-,window,haus,,
das,fernsehen,/,watching TV,haus,,
das,fruehstueck,fruehstueck,breakfast,mahlzeiten,,
das,mittagessen,mittagessen,lunch,mahlzeiten,,
das,fest,feste,festival,setzt,fest,
das,fitness studio,fitness studios,fitness studio,setzt,,
das,fleisch,-,meat,essen,,
das,formular,formulare,(fill a) form,schreibwaren,,
das,foto,fotos,photo,,,
das,fussballspiel,fussballspiele,football game,aktivitaet,,
das,geld,/,money,geld,,
das,getraenk,getraenke,drink,essen,trinken,
das,gepaecke,/,package,,,
das,geschaeft,geschaefte,market (starts with G),setzt,,
das,kaufhaus,kaufhaeuser,department store,setzt,,
das,glas,glaeser,glass,,,
das,glueck,/,luck,,,
das,gramm,/,gram,,,
das,haenchen,-,chicken,tier,essen,
das,handy,handys,phone,technologie,,
das,haus,haeuser,house,haus,,
das,haustier,haustiere,pet,tier,haus,
das,tier,tiere,animal,tier,,
das,heimatland,heimatlaender,hometown,setzt,land,
das,land,laender,country,land,,
das,hotel,hotels,hotel,setzt,,
das,internet,internets,internet,technologie,,
das,jahr,jahre,year,zeit,,
das,joggingwetter,-,jogging weather,wetter,,
das,mistwetter,-,bad weather,wetter,,
das,wetter,-,weather,wetter,,
das,krankenhaus,krankenhaeuser,hospital,krankheit,,
das,kaesebrot,kaesebrote,cheese sandwich,essen,,
das,kind,kinder,child,personen,,
das,maedchen,-,young girl,personen,,
das,kino,kinos,cinema,setzt,,
das,theater,-,theatre,setzt,,
das,konzert,konzerte,concert,aktivitaet,,
das,leben,-,life,,,
das,lebensmittel,-,groceries,essen,,
das,lied,lieder,song,,,
das,marketing,/,marketing,arbeit,,
das,meer,meere,sea,natur,setzt,
das,wasser,-,water,essen,trinken,
das,mineralwasser,-,mineral water,essen,trinken,
das,moebel,-,furnitute,haus,,
das,oel,oele,oil,essen,trinken,
das,museum,museen,museum,setzt,,
das,pfund,pfunde,pound,,,
das,picknick,picknicks,picnic,aktivitaet,,
das,praktikum,praktikumen,practice,aktivitaet,,
das,problem,probleme,problem,,,
das,radio,radios,radio,technologie,,
das,restaurant,restaurants,restaurant,setzt,,
das,reiszeil,reisziele,destination,,,
das,rindfleisch,-,beef,essen,,
das,salz,salze,salt,essen,,
das,schild,schilder,sign,,,
das,schiff,schiffe,ship,transport,,
das,wohnzimmer,-,living room,haus,,
das,schlafzimmer,-,sleeping room,haus,,
das,schwimmbad,schwimmbaeder,swimming pool,haus,,
das,semester,-,semester,schule,,
das,sofa,sofas,sofa,haus,,
das,sonderangebot,sonderangebote,special offer,,,
das,sportgeschaeft,sportgeshaefte,sports equipment shop,setzt,,
das,stadtzentrum,statzentren,downtown,setzt,,
das,studium,studiem,higher education,schule,,
das,telefon,telefone,telephone,technologie,,
das,telefonspraech,telefonspraeche,telephone conversation,,,
das,ticket,tickets,ticket,,,
das,waschbecken,-,sink,haus,,
das,wissen,/,science,wissen,,
das,wort,woerter,word,wissen,,
das,woerterbuch,woerterbuecher,dictionary,wissen,,
das,tennis,-,tennis,aktivitaet,,
das,deutsch,/,german,sprache,,
das,eis,/,ice cream,essen,,
das,t-shirt,t-shirts,t-shirt,kleider,,
das,aerobic,/,aerobics,aktivitaet,,
das,projekt,projekte,project,schule,,
das,hobby,hobbys,hobby,aktivitaet,,
das,video,videos,video,technologie,,
das,interesse,interessen,interest,,,
das,italien,/,italian,sprache,,
das,experiment,experimente,experiment,schule,,
das,heft,hefte,notebook,schreibwaren,,
das,lineal,lineale,ruler,schreibwaren,,
das,quartett,quartette,quartet,,,
das,cafe,cafes,cafe,setzt,,
das,ende,enden,end,zeit,,
das,training,/,training,aktivitaet,,
das,geschenk,geschenke,gift,,,
das,geschirr,-,dishes,haus,,
das,bistro,bistros,bistro (small restaurant),setzt,,
das,muesli,/,cereal,essen,,
das,plakat,plakat,poster,,,
das,album,alben,album,,,
das,top,tops,top,kleider,,
das,instrument,instrumente,instrument,,,
das,klavier,klaviere,piano,,,
das,internat,internate,boarding school,schule,,
das,zuhause,/,(the) home,haus,,
das,latein,/,latin,sprache,,
das,flugzeug,flugzeuge,airplane,transport,,
das,gleis,gleise,track,transport,,
das,zentrum,zentren,center,,,
das,taxi,taxis,taxi,transport,,
das,verkerhrsmitteln,/,means of transport,transport,,
das,beispiel,beispiele,example,schule,,
das,dorf,doerfer,village,setzt,,
das,heimweh,/,homesickness,gefuehl,,
das,traumland,traumlaender,dreamland,land,,
das,weihnachten,/,christmas,zeit,,
das,hemd,hemden,shirt,kleider,,
das,model,modelle,model,arbeit,personen,
das,recht,rechte,right,,,
das,sprach,sprache,conversation,,,
das,befinden,-,location,,,
das,datum,daten,date,,,
das,gespraech,gespraeche,conversation,,,
das,gesundheitsproblem,gesundheitsprobleme,health problem,krankenhaus,,
das,medikament,medikamente,medicine,krankenhaus,,
das,reiten,/,riding a horse,aktivitaet,,
das,rezept,rezepte,reciept,krankenhaus,,
das,wartezimmer,-,waiting room,krankenhaus,,
das,monster,/,monster,,,
das,lachen,/,laughing,,,
das,fieber,/,fever,krankenhaus,,
das,menue,menues,menu,,,
das,institut,institute,institute,setzt,,
das,verkehrsmittel,verkehrsmitteln,means of transportation,transport,,
das,display,displays,display,,,
