artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,sprachunterricht,sprachunterrichte,language class,schule,,
der,sprachurlaub,sprachurlaube,language trip,schule,,
der,student,studenten,student,schule,,
der,schueler,studenten,student,schule,,
der,unterricht,unterrichte,class,schule,,
der,test,tests,test,schule,,
das,diplom,diplome,diploma,schule,,
das,semester,-,semester,schule,,
das,studium,studiem,higher education,schule,,
das,projekt,projekte,project,schule,,
das,experiment,experimente,experiment,schule,,
das,internat,internate,boarding school,schule,,
das,beispiel,beispiele,example,schule,,
die,klasse,klassen,class(f.),schule,,
die,schule,schulen,school,schule,,
die,stunde,stundent,class hour(f.),schule,,
die,universitaet,universitaten,university,schule,,
