artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
die,shauspielerin,-,actress,arbeit,arbeitsplaetze,
die,krankheit,krankheiten,illnness,krankheit,,
die,aktivitaet,aktivitaeten,activity,aktivitaet,,
die,tuer,tueren,door,haus,,
die,sprache,sprachen,language,sprache,,
die,abfahrt,abfahrten,departure(abf-),transportverben,,
die,abreise,abreisen,departure(abr-),transportverben,,
die,abteilung,abteilungen,department,,,
die,adresse,adressen,address,,,
die,antwort,antworten,answer,,,
die,anzeige,anzeigen,advertisements,,,
die,architektin,architektinen,architect,arbeit,arbeitsplaetze,
die,aerztin,aerztinnen,doctor(f.),arbeit,arbeitsplaetze,
die,ausbildung,ausbildungen,apprenticeship,arbeit,arbeitsplaetze,
die,aussprache,/,pronunciation,sprache,,
die,badewanne,badewannen,bathtub,haus,,
die,banane,bananen,banana,essen,,
die,birne,birnen,pear,essen,,
die,blume,blumen,flower,natur,,
die,schokolade,schokoladen,chocolate,essen,,
die,kartoffel,kartoffelen,potatoes(f.),essen,,
die,traube,trauben,grapes,essen,,
die,sahne,*,cream,essen,,
die,soppe,soppen,soup,essen,trinken,
die,sosse,sossen,sauce,essen,trinken,
die,pizza,pizzas,pizza,essen,,
die,gurke,gurken,cucumber,essen,,
die,kasse,kassen,case,,,
die,milsch,-,milk,essen,trinken,
die,cola,colas,soda,essen,trinken,
die,butter,/,butter,essen,,
die,dame,damen,lady,personen,,
die,frau,frauen,miss,personen,,
die,freundin,freundinen,friend(f.),personen,,
die,dauer,-,period,zeit,,
die,disco,discos,disco,setzt,,
die,e-mail,e-mails,e-mail,technologie,,
die,einladung,einladungen,invitation,,,
die,eltern,/,parents,familie,,
die,ermaessigung,ermaessigungen,discount,geld,,
die,fahrkarte,fahrkarten,boarding ticket,transport,,
die,feier,feiern,celebration(f.),zeit,,
die,freienwohnung,freienwohnungen,vacation home,setzt,haus,
die,fernsehsendung,fernsehsendungen,TV Show,technologie,,
die,firma,firmaen,corporation,,,
die,flasche,flaschen,bottle,,,
die,flugbegleiterin,flugbegleiterinnen,hostess,arbeit,arbeitsplaetze,
die,frage,fragen,question,,,
die,freizeit,freizeiten,free time,zeit,,
die,fremdsprache,fremdsprachen,foreing language,sprache,,
die,freude,-,happiness,gefuehl,,
die,firkadelle,firkadellen,kofta,essen,,
die,friseurin,friseurinnen,hairstylist(f.),arbeit,arbeitsplaetze,
die,gastfamilie,gastfamilien,host family,familie,,
die,germanistik,/,german studies,wissen,,
die,informatik,/,information science,wissen,,
die,information,informationen,information,,,
die,paedagogik,/,pedagogy,wissen,,
die,gitarre,gitarren,guitar,,,
die,geschwister,/,siblings,familie,,
die,grammatik,grammatiken,grammar,wissen,,
die,halbpension,halbpensionen,half board,wohnung,,
die,vollpension,vollpensionen,full board,wohnung,,
die,wohnung,wohnungen,apartment,wohnung,,
die,miete,mieten,rent,wohnung,,
die,monatsmiete,monatsmieten,monthly rent,wohnung,,
die,jugendherberge,jugendherbergen,youth hostel,wohnung,,
die,wohngemeinschaft,wohngemeinschaften,shared apartment,wohnung,,
die,gruppenarbeit,gruppenarbeiten,group work,arbeit,,
die,partnerarbeit,partnerarbeiten,duo work,arbeit,,
die,grosseltern,/,grandparents,familie,,
die,grossmutter,grosmuetter,grandmother,familie,,
die,oma,omas,grandma,familie,,
die,hauptstadt,hauptstaedte,capital,setzt,,
die,herkunft,*,origin,,,
die,hausaufgabe,hausaufgaben,homework,,,
die,hilfe,hilfen,help,,,
die,hochzeit,hochzeiten,wedding,zeit,,
die,hotelfachfrau,hotelfachfrauen,hotel employee(f.),arbeit,arbeitsplaetze,
die,idee,ideen,idea,,,
die,jahreszeit,jahreszeiten,season,zeit,,
die,joggingshuhe,/,jogging shoe,kleider,,
die,kleider,/,clothes,kleider,,
die,journalistin,journalistnnen,journalist,arbeit,arbeitsplaetze,
die,karte,karten,ticket,,,
die,kauffrau,kaufleute,merchant(f.),arbeit,arbeitsplaetze,
die,kiwi,kiwis,kiwi,essen,,
die,kenntnisse,/,knowledge,wissen,,
die,klasse,klassen,class(f.),schule,,
die,schule,schulen,school,schule,,
die,stunde,stundent,class hour(f.),schule,,
die,kollegin,kolleginnen,colleauge(f.),personen,,
die,kueche,kuechen,kitchen,kueche,haus,
die,lampe,lampen,lamp,haus,,
die,lehrerin,lehrerinnen,teacher(f.),arbeit,arbeitsplaetze,
die,leidenschaft,leidenschaften,passion,gefuehl,,
die,leute,/,people,personen,,
die,medizin,medizinen,medicine,wissen,,
die,mitte,mitten,middle,,,
die,musik,*,music,,,
die,mutter,muetter,mother,familie,,
die,nachtricht,nachtrichten,news,,,
die,nacht,naechte,night,zeit,,
die,nebenkosten,*,additional costs,geld,,
die,nummer,nummern,number,,,
die,telefonnummer,telfonnummern,telephone number,,,
die,tante,tanten,aunt,familie,,
die,oeffnungzeit,oeffnungzeiten,opening hours,zeit,,
die,orange,orangen,orange,essen,,
die,packung,packungen,pack,,,
die,party,partys,party,aktivitaet,,
die,pause,pausen,recess,aktivitaet,,
die,person,personen,person,personen,,
die,pommes,/,french fries,essen,,
die,praktikanten,praktikantennen,practicer(f.),personen,,
die,praxis,praxen,clinic,krankheit,setzt,
die,regenkleidung,regenkleidungen,raining clothes,kleider,,
die,tour,touren,tour,,,
die,reise,reisen,travel,,,
die,rezeption,rezeptionen,reception,,,
die,shuhe,/,shoes,kleider,,
die,schwester,schwestern,sister,familie,,
die,sehenswuerdigkeit,sehenswuerdigkeiten,sightseeing,aktivitaet,,
die,sms,smss,sms,technologie,,
die,spaghetti,/,spaghetti,essen,,
die,spiesekarte,spiesekarten,food menu,essen,,
die,sporttasche,sporttaschen,sportsbag,,,
die,stadt,staedte,city,setzt,,
die,stadtfuehrung,stadtfuehrungen,city tour,aktivitaet,,
die,stadtrundfahrt,stadtrundfahrten,city tour(r-f),aktivitaet,,
die,strasse,strassen,street,setzt,,
die,stelle,stellen,job(f.),arbeit,,
die,tageszeit,tageszeiten,times of day,zeit,,
die,temperatur,temperaturen,temperature,krankheit,,
die,tieraerztin,tieraerztinnen,vet(f.),arbeit,arbeitsplaetze,
die,tochter,toechter,daughter,familie,,
die,toilette,toiletten,toilette,haus,,
die,tomate,tomaten,tomato,essen,,
die,tomatensosse,tomatensossen,tomato sauce,essen,,
die,trekkingshuhe,/,trekking shoes,kleider,,
die,u-bahn,u-bahnen,the underground,transport,,
die,uebernachtung,uebernachtungen,overnight stay,wohnung,,
die,uhr,uhren,hour,zeit,,
die,uebung,uebungen,exercise,,,
die,uhrzeit,uhrzeiten,time,zeit,,
die,universitaet,universitaten,university,schule,,
die,verkaeuferin,verkaeuferinnen,merchant(f.-ver),,,
die,vorliebe,vorlieben,preference,,,
die,welt,welten,world,,,
die,wirtschaft,wirtschaften,economics,wissen,,
die,woche,wochen,week,zeit,,
die,zeitung,zeitungen,newspaper,,,
die,zeitschrift,zeitschriften,magazine,,,
die,zigarette,zigaretten,cigar,essen,,
die,wurst,wurste,sausage,essen,,
die,zahl,zahlen,count,,,
die,biologie,/,biology,wissen,,
die,chemie,/,chemistry,wissen,,
die,englisch,/,english,sprache,,
die,ethik,/,ethics,wissen,,
die,geografie,/,geography,wissen,,
die,geschichte,/,history,wissen,,
die,naturwissenschaften,/,natural sciences,wissen,,
die,kunst,/,drawing,wissen,,
die,physik,/,physics,wissen,,
die,religion,/,religion,wissen,,
die,sozialkunde,/,social studies,wissen,,
die,salami,salamis,salami,essen,,
die,bluse,blusen,blouse,kleider,,
die,hose,hosen,pants,kleider,,
die,CD,CDs,CD,technologie,,
die,DVD,DVDs,DVD,technologie,,
die,halle,hallen,hall,haus,,
die,bibliothek,bibliotheken,library,setzt,,
die,schere,scheren,scissors,schreibwaren,,
die,band,bands,band,,,
die,lust,-,lust,gefuehl,,
die,show,shows,show,,,
die,ahnung,/,idea,,,
die,boxershorts,/,boxershorts,kleider,,
die,chips,/,chips,essen,,
die,marmelade,marmeladen,jam,essen,,
die,tasse,tassen,mug,kueche,,
die,pizzeria,pizzerien,pizzeria,setzt,,
die,jugendlichen,/,youth,personen,,
die,boutique,boutiquen,boutique,setzt,,
die,farbe,farben,color,schreibwaren,,
die,kette,ketten,necklace,kleider,,
die,entschuldigung,entschuldigungen,apology,,,
die,minute,minuten,minute,zeit,,
die,sekunde,sekunden,second,zeit,,
die,sache,sachen,thing,,,
die,klamotten,/,clothes(k-),kleider,,
die,angst,aengsten,fear,gefuehl,,
die,diaet,diaeten,diet,essen,,
die,eins,einsen,one,,,
die,frucht,fruechten,fruit,essen,,
die,hand,haenden,hand,körperteil,,
die,nase,nasen,nose,körperteil,,
die,pruefung,pruefungen,test(f.),,,
die,ruhe,/,rest,,,
die,terrasse,terrassen,terrace,haus,,
die,note,noten,note,,,
die,ordnung,ordnungen,order,,,
die,puenktlichkeit,/,punctuality,,,
die,vokabel,vokabeln,vocab,wissen,,
die,apotheke,apotheken,pharmacy,krankheit,,
die,bank,banken,bank,setzt,,
die,haltstelle,haltstellen,halt,,,
die,insel,inseln,island,setzt,,
die,linie,linien,line,,,
die,mauer,mauern,wall,,,
die,post,posten,post office,,,
die,richtung,richtungen,direction,,,
die,s-bahn,s-bahnen,suburban train,transport,,
die,heimat,/,homeland,,,
die,erzieherin,erzieherinnen,educator,arbeit,arbeitsplaetze,
die,fabrik,fabriken,factory,setzt,,
die,praxis,praxen,surgery,krankheit,,
die,sekretaerin,sekretaerinnnen,secretary,arbeit,arbeitsplaetze,
die,brille,/,brayille's method,wissen,,
die,anfrage,anfragen,inquiry,,,
die,anmeldung,anmeldungen,registration,,,
die,anrede,anreden,salutation,,,
die,empfehlung,empfehlung,advice(f.),,,
die,entspannung,entspannungen,relaxation,,,
die,lichttherapie,lichttherapien,laugh therapy,krakenhaus,,
die,massage,massagen,massage,aktivitaet,,
die,masseurin,masseurinnen,masseur(f.),arbeitsplaetze,,
die,postleitzahl,postleitzahlen,postal code,,,
die,reittherapie,reittherapie,horse-riding therapy,krankenhause,,
die,rolle,rollen,role,,,
die,sauna,saunaen,sauna,setzt,,
die,schlafstoerung,schlafstoerungen,insomnia,krankenhaus,,
die,tablette,tabletten,tablet,krankenhaus,,
die,vereinbarung,vereinbarungen,agreement,,,
die,verspaetung,/,delay,zeit,,
die,achtung,achtungen,attention,,,
die,ampel,ampeln,traffic sign,transport,,
die,ankunft,ankuenfte,arrival,transport,,
die,auskunft,auskuenfte,inquiry(aus-),,,
die,bushaltstelle,bushaltstellen,bus stop,transport,,
die,autobahn,autobahnen,highway,transport,,
die,baeckerei,baeckereien,backery,setzt,,
die,durchsage,durchsagen,announcement,,,
die,ecke,ecken,corner,,,
die,naehe,/,closeness,,,
die,polizei,/,police,,,
die,seite,seiten,paper/side,schreibwaren,,
die,treppe,treppen,staircase,,,
die,ansage,ansagen,voicenote,,,
die,autovermeitung,autovermeitungen,car rental service,,,
die,bahn,bahnen,railway station,transport,,
die,briefmarke,briefmarken,stamp,schreibwaren,,
die,buchung,buchungen,booking,,,
die,bitte,bitten,please,,,
die,gebrauchsanweisung,gebrauchsanweisungen,instructions for use,,,
die,gruppe,gruppen,group,,,
die,heizung,heizungen,heater,haus,,
die,kreuzung,kreuzungen,intersection,,,
die,fuehrung,fuehrungen,trip(f-r),,,
die,oper,opern,opera(f.),setzt,,
die,optik,optiken,optik store,setzt,,
die,rechnung,rechnungen,reciept(f.),,,
die,reparatur,reparaturen,repairing,,,
die,sonnenbrille,sonnenbrillen,sunglasses,kleider,,
die,baby waesche,/,baby clothes,kleider,,
die,krawatte,krawatten,tie(clothes),kleider,,
die,kosmetik,/,make up,kleider,,
die,drogerie,drogerien,make up store,setzt,,
die,jeans,/,jeans,kleider,,
die,brieftasche,brieftaschen,briefcase,schreibwaren,,
die,damenkleidung,/,women clothes,kleider,,
die,kinderkleidung,/,kinder clother,kleider,,
die,herrenkleidung,/,men clothes,kleider,,
die,designer mode,/,designer clothes,kleider,,
die,ehefrau,ehefrauen,wife,personen,,
die,friseur,friseuren,hair style,,,
die,geige,geigen,violin,instrument,,
die,groesse,groessen,size,kleider,,
die,landschaft,landschaften,nature,natur,,
die,meinung,meinungen,opinion,,,
die,ordung,ordungen,order,,,
die,mode boutique,mode botiquen,clothes store,setzt,,
die,mode,moden,fashion,kleider,,
die,modenschau,modenschauen,fashion show,,,
die,mutti,muttis,mother,familie,,
die,absage,absagen,refuse to,,,
die,zusage,zusagen,agree to,,,
die,bekannte,bekannten,acquaintance(f.),personen,,
die,kirche,kirchen,church,setzt,,
die,liste,listen,list,,,
die,ueberraschung,ueberraschungen,surprise,,,
usage,zusagen,agree to,,,
die,bekannte,bekannten,acquaintance(f.),personen,,
die,kirche,kirchen,church,setzt,,
die,liste,listen,list,,,
die,ueberraschung,ueberraschungen,surprise,,,
